tier,code,cycle,where,message
ADVISORY,A-BIOLIST-ORPHAN,Cycle 20,BioAsList!F41,"Wk 38 'Human Impact (Capstone)' points at deck 1RBHGbts0EJNNXoK5E_tC6a45c0bM6G8P, which the dated Biology tab never uses"
ADVISORY,A-ID-UNKNOWN,Cycle 16,Biology!G/H,deck id 11xtdivdeQ_j_JK3Cp2nHCt0wZ5veL5CNF22zxnQiJ1E is in neither decks_live_ids.csv nor any deck on disk; used on 1 row(s): r68 'Cell Differentiation and Gene Expr'
ADVISORY,A-ID-UNKNOWN,Cycle 03,Biology!G/H,deck id 1B40j2p6MtkA-Z_sWDKOUIBpBPHuI0LolDSm9bY8XXQs is in neither decks_live_ids.csv nor any deck on disk; used on 1 row(s): r10 'Intro to Energy'
ADVISORY,A-ID-UNKNOWN,Cycle 06e,Biology!G/H,deck id 1CzypbmFAouMpSl-XRAhQp-cdeXbzpVLOQCqMJkigeUw is in neither decks_live_ids.csv nor any deck on disk; used on 1 row(s): r36 'Semester 1 buffer (Year Grid row W'
ADVISORY,A-ID-UNKNOWN,Cycle 17,Biology!G/H,deck id 1GG7e8GszVG4DS0yb51sHsgsnafnwoFMrT7CQcsyBaCk is in neither decks_live_ids.csv nor any deck on disk; used on 1 row(s): r69 'Cell Differentiation and Gene Expr'
ADVISORY,A-ID-UNKNOWN,Cycle 02,Biology!G/H,deck id 1WndV0isfYQzBgk5vjC3RRJfEXB9dz16vlF4F-ru9_M4 is in neither decks_live_ids.csv nor any deck on disk; used on 1 row(s): r5 'Lab Safety + comic + train jobs'
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 02,Biology!D7,topic 'Ecosystems & Change' matches the deck TITLE but none of Cycle 02's critical aspects ('Energy flow through trophic levels | Symbiosis and species relationshi')
ADVISORY,A-CYCLE-MISMATCH,Cycle 04,Biology!C11,row is labelled C04 but links to Cycle 03 ('▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids')
ADVISORY,A-CYCLE-MISMATCH,Cycle 05,Biology!C14,row is labelled C05 but links to Cycle 04 ('▶ LIVE — Cycle 04 — Cycles of Matter_ The Carbon Cycle')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 05,Biology!D15,"topic 'Photosynthesis' matches the deck TITLE but none of Cycle 05's critical aspects (""Light energy becomes chemical energy in glucose | A plant's material c"")"
ADVISORY,A-CYCLE-MISMATCH,Cycle 06,Biology!C16,row is labelled C06 but links to Cycle 05 ('▶ LIVE — Cycle 05 — Photosynthesis')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 06,Biology!D16,"topic 'Photosynthesis' matches the deck TITLE but none of Cycle 05's critical aspects (""Light energy becomes chemical energy in glucose | A plant's material c"")"
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 06,Biology!D17,topic 'Cellular Respiration' matches the deck TITLE but none of Cycle 06's critical aspects ('Releasing the energy in glucose | Oxygen and how much ATP you get')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 06,Biology!D18,topic 'Cellular Respiration' matches the deck TITLE but none of Cycle 06's critical aspects ('Releasing the energy in glucose | Oxygen and how much ATP you get')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 06,Biology!D19,topic 'Fermentation' matches the deck TITLE but none of Cycle 06's critical aspects ('Releasing the energy in glucose | Oxygen and how much ATP you get')
ADVISORY,A-CYCLE-MISMATCH,Cycle 07,Biology!C20,row is labelled C07 but links to Cycle 06 ('▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 07,Biology!D20,topic 'Fermentation' matches the deck TITLE but none of Cycle 06's critical aspects ('Releasing the energy in glucose | Oxygen and how much ATP you get')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 07,Biology!D24,topic 'Population Ecology' matches the deck TITLE but none of Cycle 07a's critical aspects ('Why growth bends — J vs S | What sets carrying capacity')
ADVISORY,A-CYCLE-MISMATCH,Cycle 08,Biology!C25,row is labelled C08 but links to Cycle 07a ('▶ LIVE — Cycle 07a — Population Ecology')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 08,Biology!D25,topic 'Population Ecology' matches the deck TITLE but none of Cycle 07a's critical aspects ('Why growth bends — J vs S | What sets carrying capacity')
ADVISORY,A-CYCLE-MISMATCH,Cycle 09,Biology!C29,row is labelled C09 but links to Cycle 08 ('▶ LIVE — Cycle 08 — Cells & Organelles')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 09,Biology!D30,topic 'Cell Membrane' matches the deck TITLE but none of Cycle 09's critical aspects ('Selective permeability | Bilayer structure')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 09,Biology!D31,topic 'Cell Membrane' matches the deck TITLE but none of Cycle 09's critical aspects ('Selective permeability | Bilayer structure')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 09,Biology!D32,topic 'Cell Transport' matches the deck TITLE but none of Cycle 09's critical aspects ('Selective permeability | Bilayer structure')
ADVISORY,A-CYCLE-MISMATCH,Cycle 10,Biology!C33,row is labelled C10 but links to Cycle 09 ('▶ LIVE — Cycle 09 (review) — Cell Membrane & Transport')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 10,Biology!D33,topic 'Cell Transport' matches the deck TITLE but none of Cycle 09's critical aspects ('Selective permeability | Bilayer structure')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 06e,Biology!D37,topic 'Cellular Respiration & Glycolysis' matches the deck TITLE but none of Cycle 06's critical aspects ('Releasing the energy in glucose | Oxygen and how much ATP you get')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 06e,Biology!D38,topic 'Cellular Respiration & Glycolysis' matches the deck TITLE but none of Cycle 06's critical aspects ('Releasing the energy in glucose | Oxygen and how much ATP you get')
ADVISORY,A-CYCLE-MISMATCH,Cycle 11,Biology!C39,row is labelled C11 but links to Cycle 06 ('▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 11,Biology!D39,topic 'Cellular Respiration & Glycolysis' matches the deck TITLE but none of Cycle 06's critical aspects ('Releasing the energy in glucose | Oxygen and how much ATP you get')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 11,Biology!D42,topic 'The Cell Cycle' matches the deck TITLE but none of Cycle 11's critical aspects ('Checkpoints control the cycle | Cancer = regulation failure')
ADVISORY,A-CYCLE-MISMATCH,Cycle 12,Biology!C43,row is labelled C12 but links to Cycle 11 ('▶ LIVE — Cycle 11 — The Cell Cycle to Cancer')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 12,Biology!D43,topic 'The Cell Cycle' matches the deck TITLE but none of Cycle 11's critical aspects ('Checkpoints control the cycle | Cancer = regulation failure')
ADVISORY,A-CYCLE-MISMATCH,Cycle 16,Biology!C44,"row is labelled C16 but links to Cycle 12 ('▶ LIVE — Cycle 12 — The Process of Meiosis (VT deck, reb')"
ADVISORY,A-TOPIC-DRIFT,Cycle 16,Biology!D44,"topic 'Asexual & Sexual Reproduction' shares no content word with Cycle 12 ('▶ LIVE — Cycle 12 — The Process of Meiosis (VT d') or its critical aspects ('Two divisions, two different separations | One diploid cell becomes fo')"
ADVISORY,A-CYCLE-MISMATCH,Cycle 13,Biology!C47,row is labelled C13 but links to Cycle 16a ('▶ LIVE — Cycle 16a — Stem Cells and Differentiation')
ADVISORY,A-TOPIC-DRIFT,Cycle 13,Biology!D48,topic 'Introduction to Heredity' shares no content word with Cycle 13 ('▶ LIVE — Cycle 13— Mendelian Genetics') or its critical aspects ('Genotype vs. phenotype | One allele per parent (chance)')
ADVISORY,A-TOPIC-DRIFT,Cycle 13,Biology!D49,topic 'Introduction to Heredity' shares no content word with Cycle 13 ('▶ LIVE — Cycle 13— Mendelian Genetics') or its critical aspects ('Genotype vs. phenotype | One allele per parent (chance)')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 13,Biology!D50,topic 'Intro to Genetics & Mendel' matches the deck TITLE but none of Cycle 13's critical aspects ('Genotype vs. phenotype | One allele per parent (chance)')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 13,Biology!D51,topic 'Intro to Genetics & Mendel' matches the deck TITLE but none of Cycle 13's critical aspects ('Genotype vs. phenotype | One allele per parent (chance)')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 13,Biology!D52,topic 'Genetics Continued: Punnett Squares' matches the deck TITLE but none of Cycle 13's critical aspects ('Genotype vs. phenotype | One allele per parent (chance)')
ADVISORY,A-TOPIC-ASPECT-DRIFT,Cycle 13e,Biology!D53,topic 'Genetics Continued: Punnett Squares' matches the deck TITLE but none of Cycle 13's critical aspects ('Genotype vs. phenotype | One allele per parent (chance)')
ADVISORY,A-TOPIC-DRIFT,Cycle 13e,Biology!D54,topic 'Dihybrid Crosses' shares no content word with Cycle 13 ('▶ LIVE — Cycle 13— Mendelian Genetics') or its critical aspects ('Genotype vs. phenotype | One allele per parent (chance)')
ADVISORY,A-TOPIC-DRIFT,Cycle 13e,Biology!D55,topic 'Dihybrid Crosses' shares no content word with Cycle 13 ('▶ LIVE — Cycle 13— Mendelian Genetics') or its critical aspects ('Genotype vs. phenotype | One allele per parent (chance)')
ADVISORY,A-CYCLE-MISMATCH,Cycle 14,Biology!C56,row is labelled C14 but links to Cycle 13 ('▶ LIVE — Cycle 13— Mendelian Genetics')
ADVISORY,A-TOPIC-DRIFT,Cycle 14,Biology!D56,topic 'Dihybrid Crosses' shares no content word with Cycle 13 ('▶ LIVE — Cycle 13— Mendelian Genetics') or its critical aspects ('Genotype vs. phenotype | One allele per parent (chance)')
